accuracy,loss,val_accuracy,val_loss,learning_rate
0.8690370321273804,0.4337702691555023,0.9613333344459534,0.1437569260597229,0.0010000000474974513
0.9371481537818909,0.20595651865005493,0.968999981880188,0.1059333086013794,0.0010000000474974513
0.9495925903320312,0.16577646136283875,0.9728333353996277,0.09463921189308167,0.0010000000474974513
0.9589259028434753,0.13493013381958008,0.9746666550636292,0.08804750442504883,0.0010000000474974513
0.9624444246292114,0.1234150379896164,0.9736666679382324,0.08312328159809113,0.0010000000474974513
0.9668148159980774,0.10668682307004929,0.9751666784286499,0.07981609553098679,0.0010000000474974513
0.9692037105560303,0.09913284331560135,0.9746666550636292,0.07867328077554703,0.0010000000474974513
0.9715185165405273,0.0926053449511528,0.9781666398048401,0.07224281132221222,0.0010000000474974513
0.9737036824226379,0.08449354022741318,0.9776666760444641,0.0793752521276474,0.0010000000474974513
0.9737036824226379,0.08221881091594696,0.9806666374206543,0.06752447783946991,0.0010000000474974513
